Name,Region_1depth_Name,Region_2depth_Name,Region_3depth_Name,Category,Latitude,Longitude
광주리가든,전북특별자치도,전주시 덕진구,팔복동2가,"음식점 > 한식 > 사철탕,영양탕",35.86298642,127.0840882
운암정,전북특별자치도,전주시 덕진구,팔복동2가,음식점 > 한식,35.86144112,127.087376
요리왕,전북특별자치도,전주시 덕진구,팔복동2가,음식점 > 한식,35.8597178,127.0911815
북전주국수,전북특별자치도,전주시 덕진구,팔복동2가,음식점 > 한식 > 국수,35.85992419,127.0923553
참한우명가식당,전북특별자치도,전주시 덕진구,팔복동2가,"음식점 > 한식 > 육류,고기",35.86138257,127.0885683
김가네얼큰이국밥,전북특별자치도,전주시 덕진구,팔복동3가,음식점 > 한식 > 국밥,35.85633458,127.0849138
전일식당,전북특별자치도,전주시 덕진구,팔복동2가,음식점 > 뷔페 > 한식뷔페,35.85429484,127.0925016
서해가든,전북특별자치도,전주시 덕진구,팔복동2가,음식점 > 한식,35.85511334,127.0887119
초원식당,전북특별자치도,전주시 덕진구,여의동,음식점 > 한식,35.85814096,127.080599
정회관,전북특별자치도,전주시 덕진구,팔복동2가,음식점 > 한식,35.85550657,127.0883182
빙그레아이스크림지점,전북특별자치도,전주시 덕진구,팔복동1가,음식점 > 간식 > 아이스크림,35.85889941,127.0969974
토지가든,전북특별자치도,전주시 덕진구,팔복동2가,음식점 > 한식,35.85517475,127.0885393
국일식당,전북특별자치도,전주시 덕진구,팔복동2가,음식점 > 한식,35.85361485,127.0919074
신한푸드,전북특별자치도,전주시 덕진구,팔복동1가,음식점 > 분식,35.86181006,127.0996936
공단식당,전북특별자치도,전주시 덕진구,팔복동3가,음식점 > 한식,35.85294231,127.0848393
새마을식당,전북특별자치도,전주시 덕진구,팔복동4가,음식점 > 한식,35.867313,127.0998311
뽀빠이수산시장,전북특별자치도,전주시 덕진구,송천동2가,"음식점 > 한식 > 해물,생선 > 회",35.86976512,127.108378
천일제지 2공장식당,전북특별자치도,전주시 덕진구,팔복동4가,음식점 > 한식,35.86657177,127.1045448
수제식당,전북특별자치도,전주시 덕진구,팔복동4가,음식점 > 한식,35.86629527,127.1011663
여정식당,전북특별자치도,전주시 덕진구,팔복동4가,음식점 > 한식,35.86220869,127.1015231
신한푸드,전북특별자치도,전주시 덕진구,팔복동1가,음식점 > 분식,35.86181006,127.0996936
솔내식당,전북특별자치도,전주시 덕진구,송천동2가,음식점 > 한식,35.86973728,127.1082672
목포뻘낙지,전북특별자치도,전주시 덕진구,전미동2가,"음식점 > 한식 > 해물,생선",35.88274998,127.1087943
곤드레에반하다,전북특별자치도,전주시 덕진구,전미동2가,음식점 > 한식,35.88821127,127.1060872
미산짬뽕,전북특별자치도,전주시 덕진구,전미동2가,음식점 > 중식 > 중국요리,35.88434281,127.1142675
비행장가든,전북특별자치도,전주시 덕진구,송천동2가,"음식점 > 한식 > 육류,고기 > 오리",35.87257694,127.1133536
오후하자포차,전북특별자치도,전주시 덕진구,송천동2가,음식점,35.87306743,127.1140841
호남각,전북특별자치도,전주시 덕진구,송천동2가,음식점 > 한식 > 한정식,35.86502414,127.1136662
마이산피순대 본점,전북특별자치도,전주시 덕진구,송천동1가,음식점 > 한식 > 순대,35.86605381,127.1150982
상무초밥 전주송천점,전북특별자치도,전주시 덕진구,송천동1가,"음식점 > 일식 > 초밥,롤",35.86639563,127.1212637
소담촌 전주송천점,전북특별자치도,전주시 덕진구,송천동2가,음식점 > 샤브샤브,35.86801516,127.1148751
라보테 송천점,전북특별자치도,전주시 덕진구,송천동1가,음식점 > 양식,35.8653934,127.1213054
화산춘,전북특별자치도,전주시 덕진구,송천동2가,"음식점 > 한식 > 육류,고기 > 갈비",35.86387301,127.1221678
달빛에구운고등어 송천점,전북특별자치도,전주시 덕진구,송천동2가,"음식점 > 한식 > 해물,생선",35.86937042,127.1188046
송천참옻닭,전북특별자치도,전주시 덕진구,송천동1가,"음식점 > 한식 > 육류,고기 > 닭요리",35.86484874,127.1198131
착한낙지 덕진구직영점,전북특별자치도,전주시 덕진구,송천동2가,"음식점 > 한식 > 해물,생선",35.86421288,127.1211829
스시아시타 송천점,전북특별자치도,전주시 덕진구,송천동2가,"음식점 > 일식 > 초밥,롤",35.86944933,127.121017
동해회집,전북특별자치도,전주시 덕진구,송천동2가,"음식점 > 한식 > 해물,생선 > 회",35.86465897,127.1220981
고래짬뽕,전북특별자치도,전주시 덕진구,송천동2가,음식점 > 중식 > 중국요리,35.86518865,127.1121994
흑산도횟집,전북특별자치도,전주시 덕진구,송천동2가,"음식점 > 한식 > 해물,생선 > 회",35.86747702,127.1159019
자금성,전북특별자치도,전주시 덕진구,송천동2가,음식점 > 중식 > 중국요리,35.867042,127.1219866
강남칼국수,전북특별자치도,전주시 덕진구,송천동1가,음식점 > 한식 > 국수 > 칼국수,35.86365195,127.1160646
샤브연리지 전주송천점,전북특별자치도,전주시 덕진구,송천동2가,음식점 > 샤브샤브,35.86937734,127.1217942
고기녹소 송천점,전북특별자치도,전주시 덕진구,송천동2가,"음식점 > 한식 > 육류,고기 > 삼겹살",35.87015727,127.1232282
