구별,위반일자,위반시간,위반장소,위반내용
덕진구,2023-02-06,08:44:00,덕진구 여의동 852 도로,휴대하고 있는 폐기물(담배꽁초 등) 투기
덕진구,2023-02-06,15:00:00,덕진구 신성길 90-64,생활폐기물 소각
덕진구,2023-02-06,17:10:00,덕진구 진북동 363-24,간이보관기구(비닐봉지) 이용 폐기물 투기
덕진구,2023-02-06,18:24:00,덕진구 팔복동2가 268-9,간이보관기구(비닐봉지) 이용 폐기물 투기
덕진구,2023-02-06,18:45:00,덕진구 금암6길 37 앞 도로변 쓰레기적치장,간이보관기구(비닐봉지) 이용 폐기물 투기
덕진구,2023-02-06,19:30:00,덕진구 팔복동2가 268-9,간이보관기구(비닐봉지) 이용 폐기물 투기
완산구,2023-02-06,,완산구 화산 네거리공원 부근,간이보관기구(비닐봉지) 이용 폐기물 투기
완산구,2023-02-06,,완산구 반태산2길 2 부근,운반장비(차량 등) 이용 폐기물 투기
덕진구,2023-02-05,11:00:00,덕진구 고랑동 609-51,휴대하고 있는 폐기물(담배꽁초 등) 투기
덕진구,2023-02-05,18:45:00,덕진구 고랑동 609-51,휴대하고 있는 폐기물(담배꽁초 등) 투기
완산구,2023-02-04,,완산구 솟대1길 17 부근,운반장비(차량 등) 이용 폐기물 투기
덕진구,2023-02-03,16:14:00,덕진구 금상동 1276-7,운반장비(차량 등) 이용 폐기물 투기
완산구,2023-02-03,,완산구 중화산동2가 587-1 부근,간이보관기구(비닐봉지) 이용 폐기물 투기
완산구,2023-02-03,,완산구 중인1길 193 부근,쓰레기혼합배출
완산구,2023-02-03,,완산구 평화동1가 750 부근 ,휴대하고 있는 폐기물(담배꽁초 등) 투기
완산구,2023-02-03,,완산구 중화산동2가 560 부근,휴대하고 있는 폐기물(담배꽁초 등) 투기
덕진구,2023-02-02,17:40:00,덕진구 권삼득로 211-29 옆 쓰레기적치장,간이보관기구(비닐봉지) 이용 폐기물 투기
덕진구,2023-02-01,17:30:00,덕진구 금암6길 37 앞 도로변 쓰레기적치장,간이보관기구(비닐봉지) 이용 폐기물 투기
덕진구,2023-02-01,18:00:00,덕진구 금암2길 7 앞 도로변 쓰레기 적치장,간이보관기구(비닐봉지) 이용 폐기물 투기
완산구,2023-02-01,,완산구 화산천변4길 12-3 부근,쓰레기혼합배출
완산구,2023-02-01,,완산구 중인1길 193 부근,휴대하고 있는 폐기물(담배꽁초 등) 투기
덕진구,2023-01-31,17:20:00,덕진구 금암5길 18 옆 도로변 쓰레기적치장,간이보관기구(비닐봉지) 이용 폐기물 투기
덕진구,2023-01-31,17:50:00,덕진구 신복5길 11-4,간이보관기구(비닐봉지) 이용 폐기물 투기
덕진구,2023-01-31,18:58:00,덕진구 상리4길 16,간이보관기구(비닐봉지) 이용 폐기물 투기
덕진구,2023-01-31,22:10:00,덕진구 용산2길 22,간이보관기구(비닐봉지) 이용 폐기물 투기
완산구,2023-01-31,,완산구 전주객사1길 79 부근,간이보관기구(비닐봉지) 이용 폐기물 투기
완산구,2023-01-31,,완산구 중화산동2가 782-8,간이보관기구(비닐봉지) 이용 폐기물 투기
완산구,2023-01-31,,완산구 평화16길 6 부근,간이보관기구(비닐봉지) 이용 폐기물 투기
덕진구,2023-01-30,14:00:00,덕진구 원동 산 6-20,간이보관기구(비닐봉지) 이용 폐기물 투기
덕진구,2023-01-30,18:30:00,덕진구 금암5길 18 옆 도로변 쓰레기적치장,간이보관기구(비닐봉지) 이용 폐기물 투기
완산구,2023-01-30,,완산구 마전들로 7 부근,간이보관기구(비닐봉지) 이용 폐기물 투기
덕진구,2023-01-29,17:13:00,덕진구 고랑동 609-51,휴대하고 있는 폐기물(담배꽁초 등) 투기
완산구,2023-01-29,,완산구 중산2길 13 부근,간이보관기구(비닐봉지) 이용 폐기물 투기
완산구,2023-01-29,,완산구 신촌3길 18 부근,간이보관기구(비닐봉지) 이용 폐기물 투기
완산구,2023-01-29,,완산구 중인1길 76 부근,간이보관기구(비닐봉지) 이용 폐기물 투기
완산구,2023-01-29,,완산구 신촌3길 18 부근,간이보관기구(비닐봉지) 이용 폐기물 투기
완산구,2023-01-29,,완산구 중인1길 76 부근,분리배출위반
덕진구,2023-01-28,15:00:00,덕진구 동부대로 930,휴대하고 있는 폐기물(담배꽁초 등) 투기
덕진구,2023-01-27,19:30:00,덕진구 금암1길 21 앞 도로변 쓰레기적치장,간이보관기구(비닐봉지) 이용 폐기물 투기
덕진구,2023-01-27,21:20:00,덕진구 금암1길 21 앞 도로변 쓰레기적치장,간이보관기구(비닐봉지) 이용 폐기물 투기
완산구,2023-01-27,,완산구 효자동2가 8 부근,간이보관기구(비닐봉지) 이용 폐기물 투기
덕진구,2023-01-26,22:30:00,덕진구 금암1길 21 앞 도로변,휴대하고 있는 폐기물(담배꽁초 등) 투기
덕진구,2023-01-26,22:50:00,덕진구 금암1길 21 앞 도로변 쓰레기적치장,간이보관기구(비닐봉지) 이용 폐기물 투기
완산구,2023-01-26,,완산구 중앙동1가 36-7 부근,간이보관기구(비닐봉지) 이용 폐기물 투기
완산구,2023-01-26,,완산구 충경로 18-3 부근,간이보관기구(비닐봉지) 이용 폐기물 투기
완산구,2023-01-26,,완산구 고사동 1-1 부근,휴대하고 있는 폐기물(담배꽁초 등) 투기
완산구,2023-01-26,,완산구 중앙동1가 36-7 부근,휴대하고 있는 폐기물(담배꽁초 등) 투기
덕진구,2023-01-25,18:10:00,덕진구 금암1길 25 앞 도로변 쓰레기적치장,간이보관기구(비닐봉지) 이용 폐기물 투기
완산구,2023-01-25,,완산구 중인1길 76 부근,간이보관기구(비닐봉지) 이용 폐기물 투기
완산구,2023-01-25,,완산구 중인1길 76 부근,간이보관기구(비닐봉지) 이용 폐기물 투기
완산구,2023-01-25,,완산구 효자로 2 부근,휴대하고 있는 폐기물(담배꽁초 등) 투기
덕진구,2023-01-23,01:15:00,덕진구 고랑동 609-51,휴대하고 있는 폐기물(담배꽁초 등) 투기
완산구,2023-01-23,,완산구 남노송동 100-1 부근,휴대하고 있는 폐기물(담배꽁초 등) 투기
덕진구,2023-01-22,14:20:00,덕진구 고랑동 609-43,휴대하고 있는 폐기물(담배꽁초 등) 투기
완산구,2023-01-20,,완산구 효자동1가 439-10 부근,휴대하고 있는 폐기물(담배꽁초 등) 투기
완산구,2023-01-19,,완산구 인정1길 3-3 부근,간이보관기구(비닐봉지) 이용 폐기물 투기
완산구,2023-01-19,,완산구 장승배기로 390 부근,쓰레기혼합배출
완산구,2023-01-19,,완산구 거마중앙로 72 부근,쓰레기혼합배출
덕진구,2023-01-18,17:40:00,덕진구 금암5길 24 옆 도로변 쓰레기적치장,간이보관기구(비닐봉지) 이용 폐기물 투기
덕진구,2023-01-18,17:50:00,덕진구 금암2길 17 앞 도로변 쓰레기적치장,간이보관기구(비닐봉지) 이용 폐기물 투기
덕진구,2023-01-18,19:40:00,덕진구 석소2길 14-5,간이보관기구(비닐봉지) 이용 폐기물 투기
덕진구,2023-01-18,21:03:00,덕진구 금암5길 18 옆 도로변 쓰레기적치장,간이보관기구(비닐봉지) 이용 폐기물 투기
덕진구,2023-01-18,22:29:00,덕진구 석소2길 14-5,간이보관기구(비닐봉지) 이용 폐기물 투기
완산구,2023-01-18,,완산구 중인1길 76 부근,간이보관기구(비닐봉지) 이용 폐기물 투기
완산구,2023-01-18,,완산구 중앙동1가 36-7 부근,간이보관기구(비닐봉지) 이용 폐기물 투기
덕진구,2023-01-17,17:55:00,덕진구 금암2길 7 앞 도로변 쓰레기 적치장,간이보관기구(비닐봉지) 이용 폐기물 투기
덕진구,2023-01-17,18:14:00,덕진구 금암2길 7 앞 도로변 쓰레기 적치장,간이보관기구(비닐봉지) 이용 폐기물 투기
덕진구,2023-01-17,21:05:00,덕진구 금암5길 18 옆 도로변 쓰레기적치장,간이보관기구(비닐봉지) 이용 폐기물 투기
덕진구,2023-01-17,,덕진구 건지4길 10,간이보관기구(비닐봉지) 이용 폐기물 투기
완산구,2023-01-17,,완산구 중화산동2가 586 부근,간이보관기구(비닐봉지) 이용 폐기물 투기
완산구,2023-01-17,,완산구 중인1길 76 부근,간이보관기구(비닐봉지) 이용 폐기물 투기
덕진구,2023-01-16,18:05:00,덕진구 금암5길 18 옆 도로변 쓰레기적치장,간이보관기구(비닐봉지) 이용 폐기물 투기
덕진구,2023-01-16,,덕진구 건지4길 10 앞 도로,간이보관기구(비닐봉지) 이용 폐기물 투기
덕진구,2023-01-16,,덕진구 건지4길 10,간이보관기구(비닐봉지) 이용 폐기물 투기
덕진구,2023-01-16,,덕진구 건지4길 10 앞 도로,간이보관기구(비닐봉지) 이용 폐기물 투기
완산구,2023-01-16,,완산구 중인1길 76 부근,간이보관기구(비닐봉지) 이용 폐기물 투기
완산구,2023-01-16,,완산구 서신동 846-13 부근,쓰레기혼합배출
완산구,2023-01-15,,완산구 중인1길 76 부근,간이보관기구(비닐봉지) 이용 폐기물 투기
완산구,2023-01-14,,완산구 평화동 꽃밭정이 사거리,휴대하고 있는 폐기물(담배꽁초 등) 투기
덕진구,2023-01-13,20:45:00,덕진구 금암1길 21 앞 도로변 쓰레기적치장,간이보관기구(비닐봉지) 이용 폐기물 투기
덕진구,2023-01-13,21:23:00,덕진구 금암1길 21 앞 도로변 쓰레기적치장,휴대하고 있는 폐기물(담배꽁초 등) 투기
덕진구,2023-01-13,22:10:00,덕진구 금암1길 21 앞 도로변 쓰레기적치장,간이보관기구(비닐봉지) 이용 폐기물 투기
덕진구,2023-01-13,22:10:00,덕진구 건지4길 10,간이보관기구(비닐봉지) 이용 폐기물 투기
덕진구,2023-01-13,22:10:00,덕진구 건지4길 10,간이보관기구(비닐봉지) 이용 폐기물 투기
덕진구,2023-01-13,22:25:00,덕진구 금암1길 30 앞 도로변 쓰레기적치장,간이보관기구(비닐봉지) 이용 폐기물 투기
덕진구,2023-01-13,,덕진구 서가재미3길 14-6 앞 도로,간이보관기구(비닐봉지) 이용 폐기물 투기
완산구,2023-01-13,,완산구 전주천서로 181 부근,쓰레기혼합배출
완산구,2023-01-13,,완산구 전주천서로 181 부근,쓰레기혼합배출
완산구,2023-01-13,,완산구 용머리로 6 부근,운반장비(차량 등) 이용 폐기물 투기
덕진구,2023-01-12,19:30:00,덕진구 금암6길 37 앞 도로변 쓰레기적치장,간이보관기구(비닐봉지) 이용 폐기물 투기
덕진구,2023-01-12,20:00:00,덕진구 금암5길 18 옆 도로변 쓰레기적치장,간이보관기구(비닐봉지) 이용 폐기물 투기
덕진구,2023-01-12,,덕진구 가재미로 82,간이보관기구(비닐봉지) 이용 폐기물 투기
덕진구,2023-01-12,,덕진구 세병로 41 뚜레쥬르 앞 인도변,간이보관기구(비닐봉지) 이용 폐기물 투기
덕진구,2023-01-11,20:55:00,덕진구 금암1길 21 앞 도로변 쓰레기적치장,간이보관기구(비닐봉지) 이용 폐기물 투기
덕진구,2023-01-11,,덕진구 금암1길 21 앞 도로변 쓰레기적치장,간이보관기구(비닐봉지) 이용 폐기물 투기
덕진구,2023-01-11,,덕진구 금암5길 18 옆 도로변 쓰레기적치장,간이보관기구(비닐봉지) 이용 폐기물 투기
덕진구,2023-01-11,,덕진구 금암6길 37,간이보관기구(비닐봉지) 이용 폐기물 투기
덕진구,2023-01-11,,덕진구 쪽구름로 125(파리바게트) 앞,휴대하고 있는 폐기물(담배꽁초 등) 투기
완산구,2023-01-11,,완산구 거마공원 주차장 부근,쓰레기혼합배출
완산구,2023-01-11,,완산구 중화산로 106 부근,쓰레기혼합배출
완산구,2023-01-11,,완산구 효자동3가 1626-7 부근,쓰레기혼합배출
완산구,2023-01-11,,완산구 삼천동1가 659 부근,간이보관기구(비닐봉지) 이용 폐기물 투기
완산구,2023-01-11,,완산구 효자주공3단지 앞 안행로,휴대하고 있는 폐기물(담배꽁초 등) 투기
완산구,2023-01-11,,완산구 서신동 진북터널 부근,휴대하고 있는 폐기물(담배꽁초 등) 투기
덕진구,2023-01-10,,"덕진구 인교5길 16, 투투하우스 내부",운반장비(차량 등) 이용 폐기물 투기
덕진구,2023-01-10,,덕진구 금암1길 21 앞 도로변 쓰레기적치장,간이보관기구(비닐봉지) 이용 폐기물 투기
덕진구,2023-01-10,,덕진구 금암1길 21 앞 도로변 쓰레기적치장,간이보관기구(비닐봉지) 이용 폐기물 투기
덕진구,2023-01-10,,덕진구 권삼득로 211-29 옆 쓰레기적치장,간이보관기구(비닐봉지) 이용 폐기물 투기
덕진구,2023-01-10,,덕진구 금암1길 21 앞 도로변 쓰레기적치장,간이보관기구(비닐봉지) 이용 폐기물 투기
