지역,시군구,연간 쓰레기 배출량,인구수,세대수
충북,제천시,"50,885.70","132,637.00","65,436"
충북,보은군,"12,738.90","32,004.00","16,959"
충북,옥천군,"18,124.20","50,290.00","25,415"
충북,영동군,"12,578.90","45,913.00","23,794"
충북,증평군,"12,431.30","38,219.00","18,583"
충북,진천군,"35,867.00","92,553.00","42,398"
충북,괴산군,"14,686.30","37,969.00","21,347"
충북,음성군,"36,007.60","101,809.00","48,292"
충북,단양군,"18,068.50","27,972.00","15,084"
충남,천안시,"228,961.00","677,789.00","302,893"
충남,공주시,"27,103.10","104,724.00","52,394"
충남,보령시,"44,515.70","100,389.00","49,694"
충남,아산시,"117,027.20","352,571.00","152,249"
충남,서산시,"62,003.90","180,811.00","82,433"
충남,논산시,"45,446.70","117,143.00","58,137"
충남,계룡시,"16,359.00","44,668.00","18,051"
충남,당진시,"60,806.90","174,079.00","81,199"
충남,금산군,"15,841.50","52,499.00","26,180"
충남,부여군,"18,211.50","63,717.00","32,945"
충남,서천군,"13,885.10","51,399.00","26,666"
충남,청양군,"7,656.40","30,991.00","16,567"
충남,홍성군,"34,386.60","100,836.00","46,871"
충남,예산군,"25,013.20","79,571.00","39,605"
충남,태안군,"14,582.50","63,009.00","33,209"
전북,전주시,"236,743.30","661,259.00","296,241"
전북,군산시,"107,155.60","269,270.00","123,176"
전북,익산시,"90,246.00","278,815.00","130,068"
전북,정읍시,"34,818.10","107,781.00","54,528"
전북,남원시,"26,517.30","78,910.00","39,799"
전북,김제시,"25,712.80","83,628.00","43,215"
전북,완주군,"26,178.60","96,011.00","45,356"
전북,진안군,"8,762.40","24,958.00","13,513"
전북,무주군,"7,077.40","23,781.00","12,932"
전북,장수군,"10,964.90","21,709.00","11,611"
전북,임실군,"4,862.90","26,849.00","14,992"
전북,순창군,"7,219.40","27,087.00","14,132"
전북,고창군,"18,477.90","53,440.00","28,592"
전북,부안군,"17,023.50","51,050.00","27,694"
전남,목포시,"89,502.50","220,447.00","104,039"
전남,여수시,"136,329.80","280,449.00","128,720"
전남,순천시,"84,605.90","281,250.00","124,828"
전남,나주시,"38,219.60","119,553.00","59,865"
전남,광양시,"53,759.40","153,929.00","68,734"
전남,담양군,"15,917.90","46,854.00","24,787"
전남,곡성군,"7,956.60","27,542.00","15,512"
전남,구례군,"6,211.70","24,860.00","13,429"
전남,고흥군,"17,495.50","63,263.00","35,445"
전남,보성군,"12,798.40","38,944.00","22,282"
전남,화순군,"17,555.50","62,918.00","32,093"
전남,장흥군,"10,498.90","36,193.00","19,788"
전남,강진군,"9,059.30","33,681.00","18,550"
전남,해남군,"27,554.40","67,410.00","35,074"
전남,영암군,"21,529.50","57,577.00","28,353"
전남,무안군,"37,072.90","92,564.00","43,119"
전남,함평군,"7,607.00","31,553.00","18,010"
전남,영광군,"17,903.70","53,182.00","27,549"
전남,장성군,"12,707.10","44,176.00","23,358"
전남,완도군,"14,211.80","50,445.00","25,781"
전남,진도군,"10,370.60","31,150.00","16,578"
전남,신안군,"14,949.80","38,745.00","21,816"
경북,포항시,"173,937.00","503,003.00","232,371"
경북,경주시,"107,221.90","259,554.00","124,027"
경북,김천시,"37,143.80","142,112.00","69,038"
경북,안동시,"67,168.50","156,173.00","77,759"
경북,구미시,"155,318.50","413,100.00","184,786"
경북,영주시,"43,522.70","101,724.00","50,663"
경북,영천시,"33,253.20","103,932.00","54,431"
경북,상주시,"31,427.90","96,158.00","49,315"
경북,문경시,"33,784.00","71,061.00","37,056"
경북,경산시,"94,144.30","279,717.00","127,392"
경북,군위군,"9,197.00","23,796.00","13,693"
경북,의성군,"14,148.80","50,795.00","29,005"
경북,청송군,"11,500.80","24,549.00","14,038"
경북,영양군,"7,575.40","16,284.00","9,070"
경북,영덕군,"21,131.40","35,742.00","19,741"
경북,청도군,"12,073.60","42,568.00","23,443"
경북,고령군,"13,414.80","31,922.00","16,758"
경북,성주군,"12,566.30","44,199.00","23,918"
경북,칠곡군,"40,090.80","116,629.00","54,443"
경북,예천군,"15,253.70","56,262.00","28,155"
경북,봉화군,"14,198.90","30,469.00","16,830"
경북,울진군,"23,608.50","48,675.00","25,462"
경북,울릉군,"6,399.30","9,123.00","5,479"
경남,창원시,"409,633.80","1,035,475.00","456,191"
경남,진주시,"139,626.80","348,690.00","158,827"
경남,통영시,"44,613.80","126,669.00","59,506"
경남,사천시,"37,542.00","112,496.00","54,395"
경남,김해시,"161,140.70","553,040.00","228,540"
경남,밀양시,"33,081.80","105,959.00","53,674"
경남,거제시,"82,296.50","242,523.00","103,495"
경남,양산시,"110,174.90","359,912.00","155,897"
경남,의령군,"7,677.60","26,801.00","15,098"
경남,함안군,"22,197.60","64,614.00","30,808"
경남,창녕군,"19,983.60","60,855.00","32,198"
경남,고성군,"13,068.00","51,642.00","26,564"
경남,남해군,"13,903.20","42,462.00","22,774"
경남,하동군,"7,993.90","42,965.00","23,675"
경남,산청군,"13,763.60","34,647.00","19,576"
경남,함양군,"16,747.60","38,104.00","20,868"
경남,거창군,"27,451.90","61,131.00","30,659"
경남,합천군,"14,930.90","42,898.00","24,185"
제주,제주시,"323,450.30","507,594.00","222,599"
제주,서귀포시,"103,918.00","192,157.00","88,756"
