도로명 주소,지번 주소,위도,경도,주택유형구분,세대수(객실수),건축연도
전북특별자치도 전주시 덕진구 한배미4길 22,전북특별자치도 전주시 덕진구 인후동1가 933-7,35.8239734,127.1648774,다가구주택(9가구),9,2008-06-03
전북특별자치도 전주시 완산구 인정3길 15-7,전북특별자치도 전주시 완산구 중화산동2가 590-2,35.81991831,127.1187005,단독주택,11,2008-06-03
전북특별자치도 전주시 완산구 범안3길 11-6,전북특별자치도 전주시 완산구 효자동2가 1166-5,35.81197836,127.1068032,단독주택,10,2008-06-03
전북특별자치도 전주시 덕진구 아중7길 17-1,전북특별자치도 전주시 덕진구 우아동2가 895-11,35.83278136,127.1714764,다가구주택(7가구),7,2008-06-09
전북특별자치도 전주시 완산구 고사평1길 12-6,전북특별자치도 전주시 완산구 서신동 945-12,35.83537087,127.1084774,단독주택,9,2008-06-09
전북특별자치도 전주시 완산구 고사평2길 3-4,전북특별자치도 전주시 완산구 서신동 949-11,35.83466359,127.1100332,단독주택,6,2008-06-09
전북특별자치도 전주시 덕진구 정언신로 161-11,전북특별자치도 전주시 덕진구 우아동2가 890-2,35.83120473,127.1703777,다가구주택(14가구),14,2008-06-12
전북특별자치도 전주시 덕진구 우아7길 33-23,전북특별자치도 전주시 덕진구 우아동3가 727-18,35.84927639,127.153439,"단독주택,제1종근린생활시설",10,2008-06-13
전북특별자치도 전주시 완산구 중산8길 3-4,전북특별자치도 전주시 완산구 중화산동2가 603-6,35.8180341,127.1208144,단독주택,10,2008-06-13
전북특별자치도 전주시 덕진구 아중천2길 41-5,전북특별자치도 전주시 덕진구 산정동 880-5,35.83596176,127.1714473,다가구주택,10,2008-06-17
전북특별자치도 전주시 완산구 고사평4길 4,전북특별자치도 전주시 완산구 서신동 948-2,35.83562587,127.109828,단독주택,9,2008-06-17
전북특별자치도 전주시 완산구 범안3길 7,전북특별자치도 전주시 완산구 효자동2가 1167-3,35.81238903,127.1073547,단독주택,3,2008-06-17
전북특별자치도 전주시 덕진구 아중천2길 41-7,전북특별자치도 전주시 덕진구 산정동 880-10,35.83584603,127.1715191,다가구주택(10가구),10,2008-06-18
전북특별자치도 전주시 완산구 범안2길 23-6,전북특별자치도 전주시 완산구 효자동2가 1158-18,35.81291313,127.106322,단독주택,13,2008-06-18
전북특별자치도 전주시 완산구 서곡5길 13-28,전북특별자치도 전주시 완산구 효자동3가 1412-2,35.83722165,127.1010766,단독주택,4,2008-06-18
전북특별자치도 전주시 완산구 서곡3길 15,전북특별자치도 전주시 완산구 효자동3가 1426-5,35.83637404,127.1001856,단독주택,5,2008-06-18
